"COMMON.NAME","SCIENTIFIC.NAME"
"Common Ostrich","Struthio camelus"
"Emu","Dromaius novaehollandiae"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Fulvous/Lesser Whistling-Duck","Dendrocygna bicolor/javanica"
"whistling-duck sp.","Dendrocygna sp."
"Bar-headed Goose","Anser indicus"
"Greylag Goose","Anser anser"
"Bar-headed x Greylag Goose (hybrid)","Anser indicus x anser"
"Swan Goose","Anser cygnoides"
"Greylag x Swan Goose (hybrid)","Anser anser x cygnoides"
"Greater White-fronted Goose","Anser albifrons"
"Lesser White-fronted Goose","Anser erythropus"
"Greater/Lesser White-fronted Goose","Anser albifrons/erythropus"
"Taiga Bean-Goose","Anser fabalis"
"Tundra Bean-Goose","Anser serrirostris"
"Taiga/Tundra Bean-Goose","Anser fabalis/serrirostris"
"Domestic goose sp. (Domestic type)","Anser sp. (Domestic type)"
"Anser goose sp.","Anser sp."
"Barnacle Goose","Branta leucopsis"
"Red-breasted Goose","Branta ruficollis"
"Mute Swan","Cygnus olor"
"Black Swan","Cygnus atratus"
"Tundra Swan","Cygnus columbianus"
"Whooper Swan","Cygnus cygnus"
"Knob-billed Duck (Comb Duck)","Sarkidiornis melanotos"
"goose sp.","Anatidae (goose sp.)"
"Ruddy Shelduck (Brahminy Duck)","Tadorna ferruginea"
"Common Shelduck","Tadorna tadorna"
"Muscovy Duck","Cairina moschata"
"Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus"
"Wood Duck","Aix sponsa"
"Mandarin Duck","Aix galericulata"
"Baikal Teal","Sibirionetta formosa"
"Garganey","Spatula querquedula"
"Northern Shoveler","Spatula clypeata"
"Gadwall","Mareca strepera"
"Northern Shoveler x Gadwall (hybrid)","Spatula clypeata x Mareca strepera"
"Falcated Duck","Mareca falcata"
"Gadwall x Falcated Duck (hybrid)","Mareca strepera x falcata"
"Eurasian Wigeon","Mareca penelope"
"Gadwall x Eurasian Wigeon (hybrid)","Mareca strepera x penelope"
"Eurasian/American Wigeon","Mareca penelope/americana"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Eastern Spot-billed Duck","Anas zonorhyncha"
"Indian/Eastern Spot-billed Duck","Anas poecilorhyncha/zonorhyncha"
"Mallard","Anas platyrhynchos"
"Muscovy Duck x Mallard (hybrid)","Cairina moschata x Anas platyrhynchos"
"Gadwall x Mallard (hybrid)","Mareca strepera x Anas platyrhynchos"
"Mallard x Indian Spot-billed Duck (hybrid)","Anas platyrhynchos x poecilorhyncha"
"Northern Pintail","Anas acuta"
"Gadwall x Northern Pintail (hybrid)","Mareca strepera x Anas acuta"
"Mallard x Northern Pintail (hybrid)","Anas platyrhynchos x acuta"
"Green-winged Teal (Common Teal)","Anas crecca"
"Eurasian Wigeon x Green-winged Teal (hybrid)","Mareca penelope x Anas crecca"
"Garganey/Green-winged Teal","Spatula querquedula/Anas crecca"
"Andaman Teal","Anas albogularis"
"Anas duck sp.","Anas sp."
"teal sp.","Anatidae sp. (teal sp.)"
"dabbling duck sp.","Anatidae sp. (dabbling duck sp.)"
"Marbled Duck (Marbled Teal)","Marmaronetta angustirostris"
"Pink-headed Duck","Rhodonessa caryophyllacea"
"White-winged Duck","Asarcornis scutulata"
"Red-crested Pochard","Netta rufina"
"Common Pochard","Aythya ferina"
"Ferruginous Duck (Ferruginous Pochard)","Aythya nyroca"
"Common Pochard x Ferruginous Duck (hybrid)","Aythya ferina x nyroca"
"Baer's Pochard","Aythya baeri"
"Ferruginous Duck x Baer's Pochard (hybrid)","Aythya nyroca x baeri"
"Ferruginous Duck/Baer's Pochard","Aythya nyroca/baeri"
"Tufted Duck","Aythya fuligula"
"Common Pochard x Tufted Duck (hybrid)","Aythya ferina x fuligula"
"Greater Scaup","Aythya marila"
