"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Fulvous Whistling-Duck","Dendrocygna bicolor",NA,"Sundarbans",NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Bar-headed Goose","Anser indicus","Lodhi Gardens",NA,"Taj Mahal","Kaziranga","Bharatpur"
"Graylag Goose","Anser anser","Lodhi Gardens",NA,"Taj Mahal","Kaziranga","Bharatpur"
"Greater White-fronted Goose","Anser albifrons",NA,NA,NA,"Kaziranga","Bharatpur"
"Lesser White-fronted Goose","Anser erythropus",NA,NA,NA,"Kaziranga",NA
"Tundra Bean-Goose","Anser serrirostris",NA,NA,NA,"Kaziranga",NA
"Tundra Swan","Cygnus columbianus",NA,NA,NA,"Kaziranga",NA
"Knob-billed Duck","Sarkidiornis melanotos",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Ruddy Shelduck","Tadorna ferruginea",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Common Shelduck","Tadorna tadorna",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Cotton Pygmy-Goose","Nettapus coromandelianus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Baikal Teal","Sibirionetta formosa",NA,NA,NA,"Kaziranga",NA
"Garganey","Spatula querquedula",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Northern Shoveler","Spatula clypeata","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Gadwall","Mareca strepera",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Falcated Duck","Mareca falcata",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Eurasian Wigeon","Mareca penelope",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Indian Spot-billed Duck","Anas poecilorhyncha","Lodhi Gardens",NA,"Taj Mahal","Kaziranga","Bharatpur"
"Eastern Spot-billed Duck","Anas zonorhyncha",NA,NA,NA,"Kaziranga",NA
"Mallard","Anas platyrhynchos","Lodhi Gardens",NA,NA,"Kaziranga","Bharatpur"
"Northern Pintail","Anas acuta",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Green-winged Teal","Anas crecca",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Red-crested Pochard","Netta rufina",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Common Pochard","Aythya ferina",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Ferruginous Duck","Aythya nyroca",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Baer's Pochard","Aythya baeri",NA,NA,NA,"Kaziranga",NA
"Tufted Duck","Aythya fuligula",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Greater Scaup","Aythya marila",NA,"Sundarbans",NA,"Kaziranga",NA
"Common Merganser","Mergus merganser",NA,NA,NA,"Kaziranga",NA
"White-cheeked Partridge","Arborophila atrogularis",NA,NA,NA,"Kaziranga",NA
"Kalij Pheasant","Lophura leucomelanos",NA,NA,NA,"Kaziranga",NA
"Indian Peafowl","Pavo cristatus","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Red Junglefowl","Gallus gallus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Gray Francolin","Ortygornis pondicerianus",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Swamp Francolin","Ortygornis gularis",NA,NA,NA,"Kaziranga",NA
"Black Francolin","Francolinus francolinus",NA,NA,NA,NA,"Bharatpur"
