"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Common Ostrich","Struthio camelus","Common Ostrich"
"Emu","Dromaius novaehollandiae","Emu"
"Fulvous Whistling-Duck","Dendrocygna bicolor","Fulvous Whistling-Duck"
"Lesser Whistling-Duck","Dendrocygna javanica","Lesser Whistling-Duck"
"Fulvous/Lesser Whistling-Duck","Dendrocygna bicolor/javanica","Fulvous/Lesser Whistling-Duck"
"whistling-duck sp.","Dendrocygna sp.","whistling-duck sp."
"Bar-headed Goose","Anser indicus","Bar-headed Goose"
"Graylag Goose","Anser anser","Greylag Goose"
"Bar-headed x Graylag Goose (hybrid)","Anser indicus x anser","Bar-headed x Greylag Goose (hybrid)"
"Swan Goose","Anser cygnoides","Swan Goose"
"Graylag x Swan Goose (hybrid)","Anser anser x cygnoides","Greylag x Swan Goose (hybrid)"
"Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose"
"Lesser White-fronted Goose","Anser erythropus","Lesser White-fronted Goose"
"Greater/Lesser White-fronted Goose","Anser albifrons/erythropus","Greater/Lesser White-fronted Goose"
"Taiga Bean-Goose","Anser fabalis","Taiga Bean-Goose"
"Tundra Bean-Goose","Anser serrirostris","Tundra Bean-Goose"
"Taiga/Tundra Bean-Goose","Anser fabalis/serrirostris","Taiga/Tundra Bean-Goose"
"Domestic goose sp. (Domestic type)","Anser sp. (Domestic type)","Domestic goose sp. (Domestic type)"
"Anser sp.","Anser sp.","Anser goose sp."
"Red-breasted Goose","Branta ruficollis","Red-breasted Goose"
"Mute Swan","Cygnus olor","Mute Swan"
"Black Swan","Cygnus atratus","Black Swan"
"Tundra Swan","Cygnus columbianus","Tundra Swan"
"Whooper Swan","Cygnus cygnus","Whooper Swan"
"Knob-billed Duck","Sarkidiornis melanotos","Knob-billed Duck (Comb Duck)"
"goose sp.","Anatidae (goose sp.)","goose sp."
"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck (Brahminy Duck)"
"Common Shelduck","Tadorna tadorna","Common Shelduck"
"Muscovy Duck","Cairina moschata","Muscovy Duck"
"Cotton Pygmy-Goose","Nettapus coromandelianus","Cotton Pygmy-Goose (Cotton Teal)"
"Wood Duck","Aix sponsa","Wood Duck"
"Mandarin Duck","Aix galericulata","Mandarin Duck"
"Baikal Teal","Sibirionetta formosa","Baikal Teal"
"Garganey","Spatula querquedula","Garganey"
"Northern Shoveler","Spatula clypeata","Northern Shoveler"
"Gadwall","Mareca strepera","Gadwall"
"Northern Shoveler x Gadwall (hybrid)","Spatula clypeata x Mareca strepera","Northern Shoveler x Gadwall (hybrid)"
"Falcated Duck","Mareca falcata","Falcated Duck"
"Gadwall x Falcated Duck (hybrid)","Mareca strepera x falcata","Gadwall x Falcated Duck (hybrid)"
"Eurasian Wigeon","Mareca penelope","Eurasian Wigeon"
"Gadwall x Eurasian Wigeon (hybrid)","Mareca strepera x penelope","Gadwall x Eurasian Wigeon (hybrid)"
"Indian Spot-billed Duck","Anas poecilorhyncha","Indian Spot-billed Duck"
"Eastern Spot-billed Duck","Anas zonorhyncha","Eastern Spot-billed Duck"
"Indian/Eastern Spot-billed Duck","Anas poecilorhyncha/zonorhyncha","Indian/Eastern Spot-billed Duck"
"Mallard","Anas platyrhynchos","Mallard"
"Muscovy Duck x Mallard (hybrid)","Cairina moschata x Anas platyrhynchos","Muscovy Duck x Mallard (hybrid)"
"Gadwall x Mallard (hybrid)","Mareca strepera x Anas platyrhynchos","Gadwall x Mallard (hybrid)"
