eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Fulvous Whistling-Duck,Fulvous Whistling-Duck,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Fulvous Whistling Duck,Dendrocygna bicolor,500
Lesser Whistling-Duck,Lesser Whistling-Duck,Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Lesser Whistling Duck,Dendrocygna javanica,10000
Bar-headed Goose,Bar-headed Goose,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,1,NA,NA,Bar-headed Goose,Anser indicus,
Graylag Goose,Graylag Goose,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Greylag Goose,Anser anser,250
Greater White-fronted Goose,Greater White-fronted Goose,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Greater White-fronted Goose,Anser albifrons,
Lesser White-fronted Goose,Lesser White-fronted Goose,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Lesser White-fronted Goose,Anser erythropus,
Taiga Bean-Goose,Taiga Bean-Goose,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Bean Goose,Anser fabalis,
Tundra Bean-Goose,Tundra Bean-Goose,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Bean Goose,Anser fabalis,
Red-breasted Goose,Red-breasted Goose,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Red-breasted Goose,Branta ruficollis,
Mute Swan,Mute Swan,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Mute Swan,Cygnus olor,
Tundra Swan,Tundra Swan,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Tundra Swan,Cygnus columbianus,
Whooper Swan,Whooper Swan,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Whooper Swan,Cygnus cygnus,
Knob-billed Duck,Knob-billed Duck,Moderate,Uncertain,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Knob-billed Duck,Sarkidiornis melanotos,250
Ruddy Shelduck,Ruddy Shelduck,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Ruddy Shelduck,Tadorna ferruginea,500
Common Shelduck,Common Shelduck,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Common Shelduck,Tadorna tadorna,1000
Cotton Pygmy-Goose,Cotton Pygmy-Goose,High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Cotton Pygmy Goose,Nettapus coromandelianus,1000
Mandarin Duck,Mandarin Duck,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Mandarin Duck,Aix galericulata,
Baikal Teal,Baikal Teal,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Baikal Teal,Sibirionetta formosa,
Garganey,Garganey,Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Garganey,Spatula querquedula,
Northern Shoveler,Northern Shoveler,Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Northern Shoveler,Spatula clypeata,
Gadwall,Gadwall,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Gadwall,Mareca strepera,3000
Falcated Duck,Falcated Duck,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Falcated Duck,Mareca falcata,
Eurasian Wigeon,Eurasian Wigeon,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Eurasian Wigeon,Mareca penelope,2500
Indian Spot-billed Duck,Indian Spot-billed Duck,Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Indian Spot-billed Duck,Anas poecilorhyncha,1000
Eastern Spot-billed Duck,Eastern Spot-billed Duck,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Eastern Spot-billed Duck,Anas zonorhyncha,
Mallard,Mallard,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Mallard,Anas platyrhynchos,
Northern Pintail,Northern Pintail,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Northern Pintail,Anas acuta,20000
Green-winged Teal,Green-winged Teal,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Common Teal,Anas crecca,
Andaman Teal,Andaman Teal,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Andaman Islands,Wetland,Resident,NA,NA,1,Andaman Teal,Anas albogularis,7
Marbled Teal,Marbled Duck,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Marbled Duck,Marmaronetta angustirostris,50
Pink-headed Duck,Pink-headed Duck,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Pink-headed Duck,Rhodonessa caryophyllacea,1
White-winged Duck,White-winged Duck,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,White-winged Wood Duck,Asarcornis scutulata,5
Red-crested Pochard,Red-crested Pochard,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Red-crested Pochard,Netta rufina,1000
