"COMMON.NAME","SCIENTIFIC.NAME"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Bar-headed Goose","Anser indicus"
"Greylag Goose","Anser anser"
"Knob-billed Duck (Comb Duck)","Sarkidiornis melanotos"
"Ruddy Shelduck (Brahminy Duck)","Tadorna ferruginea"
"Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus"
"Garganey","Spatula querquedula"
"Northern Shoveler","Spatula clypeata"
"Gadwall","Mareca strepera"
"Falcated Duck","Mareca falcata"
"Eurasian Wigeon","Mareca penelope"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Mallard","Anas platyrhynchos"
"Northern Pintail","Anas acuta"
"Green-winged Teal (Common Teal)","Anas crecca"
"Red-crested Pochard","Netta rufina"
"Common Pochard","Aythya ferina"
"Ferruginous Duck (Ferruginous Pochard)","Aythya nyroca"
"Tufted Duck","Aythya fuligula"
"Indian Peafowl","Pavo cristatus"
"Red Spurfowl","Galloperdix spadicea"
"Painted Spurfowl","Galloperdix lunulata"
"Grey Junglefowl","Gallus sonneratii"
"Grey Francolin","Ortygornis pondicerianus"
"Common Quail","Coturnix coturnix"
"Rain Quail","Coturnix coromandelica"
"Jungle Bush-Quail","Perdicula asiatica"
"Rock Bush-Quail","Perdicula argoondah"
"Painted Bush-Quail","Perdicula erythrorhyncha"
"Greater Flamingo","Phoenicopterus roseus"
"Lesser Flamingo","Phoeniconaias minor"
"Little Grebe","Tachybaptus ruficollis"
"Great Crested Grebe","Podiceps cristatus"
"Eared Grebe (Black-necked Grebe)","Podiceps nigricollis"
"Rock Pigeon (Blue Rock Pigeon)","Columba livia"
"Nilgiri Wood-Pigeon","Columba elphinstonii"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Red Collared-Dove (Red Turtle-Dove)","Streptopelia tranquebarica"
"Spotted Dove","Spilopelia chinensis"
"Laughing Dove (Little Brown Dove)","Spilopelia senegalensis"
"Asian Emerald Dove","Chalcophaps indica"
"Orange-breasted Green-Pigeon","Treron bicinctus"
"Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)","Treron affinis"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Green Imperial-Pigeon","Ducula aenea"
"Malabar Imperial-Pigeon","Ducula cuprea"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Painted Sandgrouse","Pterocles indicus"
"Great Indian Bustard","Ardeotis nigriceps"
"Greater Coucal","Centropus sinensis"
"Lesser Coucal","Centropus bengalensis"
"Sirkeer Malkoha","Taccocua leschenaultii"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Chestnut-winged Cuckoo","Clamator coromandus"
"Pied Cuckoo (Jacobin Cuckoo)","Clamator jacobinus"
"Asian Koel","Eudynamys scolopaceus"
"Banded Bay Cuckoo","Cacomantis sonneratii"
"Grey-bellied Cuckoo","Cacomantis passerinus"
"Fork-tailed Drongo-Cuckoo","Surniculus dicruroides"
"Large Hawk-Cuckoo","Hierococcyx sparverioides"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Lesser Cuckoo","Cuculus poliocephalus"
"Indian Cuckoo","Cuculus micropterus"
"Common Cuckoo","Cuculus canorus"
