COMMON.NAME,SCIENTIFIC.NAME
Fulvous Whistling-Duck,Dendrocygna bicolor
Lesser Whistling-Duck,Dendrocygna javanica
Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
whistling-duck sp.,Dendrocygna sp.
Bar-headed Goose,Anser indicus
Greylag Goose,Anser anser
Greylag Goose (Domestic type),Anser anser (Domestic type)
Swan Goose (Domestic type),Anser cygnoides (Domestic type)
Greylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type)
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
Taiga Bean-Goose,Anser fabalis
Tundra Bean-Goose,Anser serrirostris
Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
Anser goose sp.,Anser sp.
Red-breasted Goose,Branta ruficollis
goose sp.,Anser/Branta sp.
Mute Swan,Cygnus olor
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Knob-billed Duck (Comb Duck),Sarkidiornis melanotos
Ruddy Shelduck (Brahminy Duck),Tadorna ferruginea
Common Shelduck,Tadorna tadorna
Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
Cotton Pygmy-Goose (Cotton Teal),Nettapus coromandelianus
Mandarin Duck,Aix galericulata
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera
Falcated Duck,Mareca falcata
Gadwall x Falcated Duck (hybrid),Mareca strepera x falcata
Eurasian Wigeon,Mareca penelope
Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope
Indian Spot-billed Duck,Anas poecilorhyncha
Eastern Spot-billed Duck,Anas zonorhyncha
Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha
Mallard,Anas platyrhynchos
Mallard (Domestic type),Anas platyrhynchos (Domestic type)
Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos
Mallard x Indian Spot-billed Duck (hybrid),Anas platyrhynchos x poecilorhyncha
Northern Pintail,Anas acuta
Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta
Green-winged Teal (Common Teal),Anas crecca
Garganey/Green-winged Teal,Spatula querquedula/Anas crecca
Eurasian Wigeon x Green-winged Teal (hybrid),Mareca penelope x Anas crecca
Andaman Teal (Sunda Teal),Anas albogularis
teal sp.,Anatidae sp. (teal sp.)
dabbling duck sp.,Anatidae sp. (dabbling duck sp.)
Marbled Teal (Marbled Duck),Marmaronetta angustirostris
Pink-headed Duck,Rhodonessa caryophyllacea
White-winged Duck,Asarcornis scutulata
Red-crested Pochard,Netta rufina
Common Pochard,Aythya ferina
Ferruginous Duck (Ferruginous Pochard),Aythya nyroca
Baer's Pochard,Aythya baeri
Ferruginous Duck x Baer's Pochard (hybrid),Aythya nyroca x baeri
Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila
Greater/Lesser Scaup,Aythya marila/affinis
Aythya duck sp.,Aythya sp.
Long-tailed Duck,Clangula hyemalis
