eBird.Code,eBird.English.Name.2023,eBird.Scientific.Name.2023,Order,Family
ostric2,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
ostric3,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches)
grerhe1,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas)
lesrhe2,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas)
tabtin1,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous)
higtin1,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous)
hootin1,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous)
grytin1,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous)
soltin1,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous)
blatin1,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous)
gretin1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous)
whttin1,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous)
cintin1,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous)
bertin1,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous)
littin1,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous)
teptin1,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous)
brotin1,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous)
undtin1,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous)
pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous)
bratin1,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous)
gyltin1,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous)
reltin1,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous)
yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous)
blctin1,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous)
slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous)
chotin1,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous)
vartin1,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous)
thitin1,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous)
rustin1,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous)
bartin2,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous)
smbtin1,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous)
bartin1,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous)
tattin1,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous)
rewtin1,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous)
huatin1,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous)
tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous)
orntin1,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous)
chitin1,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous)
brutin1,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous)
andtin1,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous)
cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous)
whbnot1,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous)
lesnot1,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous)
darnot1,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous)
sponot1,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous)
dwatin1,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous)
elctin1,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous)
quctin1,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous)
puntin1,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous)
pattin1,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous)
soucas1,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu)
dwacas1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu)
norcas1,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu)
emu1,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu)
sobkiw1,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis)
okbkiw1,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis)
nibkiw1,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis)
liskiw1,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis)
grskiw1,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis)
horscr1,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers)
souscr1,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers)
norscr1,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers)
maggoo1,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose)
spwduc1,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lewduc1,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whbduc1,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bahgoo,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
empgoo,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
snogoo,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rosgoo,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gragoo,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
swagoo1,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gwfgoo,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lwfgoo,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
taibeg1,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
tunbeg1,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
pifgoo,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
brant,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bargoo,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cacgoo1,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cangoo,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hawgoo,Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rebgoo1,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
freduc1,Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
buwgoo1,Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
mutswa,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blkswa,Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blnswa2,Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
truswa,Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
tunswa,Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whoswa,Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cosswa1,Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comduc2,Knob-billed Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comduc3,Comb Duck,Sarkidiornis sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
harduc1,Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
origoo1,Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
andgoo1,Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
uplgoo1,Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
kelgoo1,Kelp Goose,Chloephaga hybrida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
radshe1,Radjah Shelduck,Radjah radjah,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
egygoo,Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
maushe1,Mauritius Shelduck,Alopochen mauritiana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
reushe1,Reunion Shelduck,Alopochen kervazoi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rudshe,Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
soashe1,South African Shelduck,Tadorna cana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ausshe1,Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
