eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family
Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser Whistling-Duck,Dendrocygna javanica,lewduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bar-headed Goose,Anser indicus,bahgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Graylag Goose,Anser anser,gragoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Greater White-fronted Goose,Anser albifrons,gwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser White-fronted Goose,Anser erythropus,lwfgoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Taiga Bean-Goose,Anser fabalis,taibeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Tundra Bean-Goose,Anser serrirostris,tunbeg1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Barnacle Goose,Branta leucopsis,bargoo,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-breasted Goose,Branta ruficollis,rebgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mute Swan,Cygnus olor,mutswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Tundra Swan,Cygnus columbianus,tunswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Whooper Swan,Cygnus cygnus,whoswa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Knob-billed Duck,Sarkidiornis melanotos,comduc2,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ruddy Shelduck,Tadorna ferruginea,rudshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Shelduck,Tadorna tadorna,comshe,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cotton Pygmy-Goose,Nettapus coromandelianus,copgoo1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mandarin Duck,Aix galericulata,manduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Baikal Teal,Sibirionetta formosa,baitea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Garganey,Spatula querquedula,gargan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Northern Shoveler,Spatula clypeata,norsho,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Gadwall,Mareca strepera,gadwal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Falcated Duck,Mareca falcata,falduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Eurasian Wigeon,Mareca penelope,eurwig,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Indian Spot-billed Duck,Anas poecilorhyncha,isbduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Eastern Spot-billed Duck,Anas zonorhyncha,spbduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mallard,Anas platyrhynchos,mallar3,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Northern Pintail,Anas acuta,norpin,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Green-winged Teal,Anas crecca,gnwtea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Andaman Teal,Anas albogularis,andtea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Marbled Duck,Marmaronetta angustirostris,martea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Pink-headed Duck,Rhodonessa caryophyllacea,pihduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-winged Duck,Asarcornis scutulata,whwduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-crested Pochard,Netta rufina,recpoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Pochard,Aythya ferina,compoc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ferruginous Duck,Aythya nyroca,ferduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Baer's Pochard,Aythya baeri,baepoc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Tufted Duck,Aythya fuligula,tufduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Greater Scaup,Aythya marila,gresca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Long-tailed Duck,Clangula hyemalis,lotduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Goldeneye,Bucephala clangula,comgol,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Smew,Mergellus albellus,smew,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Merganser,Mergus merganser,commer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-breasted Merganser,Mergus serrator,rebmer,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-headed Duck,Oxyura leucocephala,whhduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Nicobar Megapode,Megapodius nicobariensis,nicscr1,Galliformes,Megapodiidae (Megapodes)
Hill Partridge,Arborophila torqueola,hilpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chestnut-breasted Partridge,Arborophila mandellii,chbpar2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rufous-throated Partridge,Arborophila rufogularis,rutpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
White-cheeked Partridge,Arborophila atrogularis,whcpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Snow Partridge,Lerwa lerwa,snopar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blood Pheasant,Ithaginis cruentus,blophe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Western Tragopan,Tragopan melanocephalus,westra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Satyr Tragopan,Tragopan satyra,sattra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blyth's Tragopan,Tragopan blythii,blytra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Temminck's Tragopan,Tragopan temminckii,temtra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Himalayan Monal,Lophophorus impejanus,himmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Sclater's Monal,Lophophorus sclateri,sclmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Koklass Pheasant,Pucrasia macrolopha,kokphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Tibetan Partridge,Perdix hodgsoniae,tibpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Mrs. Hume's Pheasant,Syrmaticus humiae,humphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Cheer Pheasant,Catreus wallichii,chephe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Kalij Pheasant,Lophura leucomelanos,kalphe,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Indian Peafowl,Pavo cristatus,compea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Green Peafowl,Pavo muticus,grepea1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red Spurfowl,Galloperdix spadicea,redspu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Spurfowl,Galloperdix lunulata,paispu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Peacock-Pheasant,Polyplectron bicalcaratum,grypep2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Mountain Bamboo-Partridge,Bambusicola fytchii,mobpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Red Junglefowl,Gallus gallus,redjun,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Junglefowl,Gallus sonneratii,grejun2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Gray Francolin,Ortygornis pondicerianus,gryfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Swamp Francolin,Ortygornis gularis,swafra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chinese Francolin,Francolinus pintadeanus,chifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Black Francolin,Francolinus francolinus,blkfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Francolin,Francolinus pictus,paifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Tibetan Snowcock,Tetraogallus tibetanus,tibsno1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Himalayan Snowcock,Tetraogallus himalayensis,himsno,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Blue-breasted Quail,Synoicus chinensis,blbqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Common Quail,Coturnix coturnix,comqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Japanese Quail,Coturnix japonica,japqua,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rain Quail,Coturnix coromandelica,raiqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Chukar,Alectoris chukar,chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Jungle Bush-Quail,Perdicula asiatica,jubqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rock Bush-Quail,Perdicula argoondah,robqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Painted Bush-Quail,Perdicula erythrorhyncha,pabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Manipur Bush-Quail,Perdicula manipurensis,mabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Himalayan Quail,Ophrysia superciliosa,himqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Greater Flamingo,Phoenicopterus roseus,grefla3,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Lesser Flamingo,Phoeniconaias minor,lesfla1,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Little Grebe,Tachybaptus ruficollis,litgre1,Podicipediformes,Podicipedidae (Grebes)
Horned Grebe,Podiceps auritus,horgre,Podicipediformes,Podicipedidae (Grebes)
Red-necked Grebe,Podiceps grisegena,rengre,Podicipediformes,Podicipedidae (Grebes)
Great Crested Grebe,Podiceps cristatus,grcgre1,Podicipediformes,Podicipedidae (Grebes)
Eared Grebe,Podiceps nigricollis,eargre,Podicipediformes,Podicipedidae (Grebes)
Rock Pigeon,Columba livia,rocpig,Columbiformes,Columbidae (Pigeons and Doves)
Hill Pigeon,Columba rupestris,hilpig1,Columbiformes,Columbidae (Pigeons and Doves)
Snow Pigeon,Columba leuconota,snopig1,Columbiformes,Columbidae (Pigeons and Doves)
Yellow-eyed Pigeon,Columba eversmanni,pabpig1,Columbiformes,Columbidae (Pigeons and Doves)
Common Wood-Pigeon,Columba palumbus,cowpig1,Columbiformes,Columbidae (Pigeons and Doves)
Speckled Wood-Pigeon,Columba hodgsonii,spwpig1,Columbiformes,Columbidae (Pigeons and Doves)
Ashy Wood-Pigeon,Columba pulchricollis,aswpig1,Columbiformes,Columbidae (Pigeons and Doves)
Nilgiri Wood-Pigeon,Columba elphinstonii,niwpig1,Columbiformes,Columbidae (Pigeons and Doves)
Pale-capped Pigeon,Columba punicea,pacpig1,Columbiformes,Columbidae (Pigeons and Doves)
